"periodo_evasao";"id_aluno";"codigo_curso";"periodo_ingressao";"codigo_ingressao";"codigo_evasao";"nota_ingressao";"naturalidade";"estado";"tipo_ensino";"cotista";"ano_nascimento";"genero";"matricula"
1994.1;91832314472;21312110;1991.1;1;1;NA;NA;NA;NA;NA;1973;"M";291130729
1994.1;43705952404;21312110;1991.1;1;1;NA;NA;NA;NA;NA;1961;"F";291130737
1994.1;78587450425;41410100;1992.1;1;2;NA;NA;NA;NA;NA;1973;"M";492140308
1994.1;71864636491;15122100;1987.1;1;4;543;NA;NA;NA;NA;1969;"F";187110159
1994.1;69083126404;15122100;1990.1;1;4;569;NA;NA;NA;NA;1972;"F";190110226
1994.2;85448273491;14123100;1983.2;1;1;588;NA;NA;NA;NA;1963;"M";183210356
1994.2;71346406472;11124100;1989.1;1;1;529;NA;NA;NA;NA;1971;"M";189110388
1994.2;71344314449;13301100;1989.1;1;1;546;NA;NA;NA;NA;1969;"M";189130442
1994.2;76040976420;21316210;1991.1;1;1;516;NA;NA;NA;NA;1990;"F";291130475
1994.2;51805952404;13304100;1985.2;1;4;553;NA;NA;NA;NA;1900;"M";185230124
1994.2;36369675415;14123100;1986.2;1;4;595;NA;NA;NA;NA;1900;"M";186210148
1994.2;18161685487;15122100;1988.1;1;4;525;NA;NA;NA;NA;1959;"M";188110164
1994.2;65307305400;13301100;1989.1;1;4;532;NA;NA;NA;NA;1968;"F";189130431
1994.2;41474376487;14123100;1989.2;1;4;573;NA;NA;NA;NA;1965;"M";189210219
1994.2;69074321453;15127100;1990.1;1;4;427;NA;NA;NA;NA;1900;"M";190110313
1994.2;72699493449;13304100;1991.2;1;4;468;NA;NA;NA;NA;1970;"M";191230358
1994.2;48630144491;13301100;1991.2;1;4;523;NA;NA;NA;NA;1965;"M";191230311
1995.1;57692505420;41410100;1988.2;1;1;507;NA;NA;NA;NA;1966;"F";488220145
1995.1;53326148534;14123100;1989.1;1;1;674;NA;NA;NA;NA;1969;"M";189110347
1995.1;92997597404;14102100;1990.1;1;1;565;NA;NA;NA;NA;1973;"F";190110407
1995.1;53648978420;15127100;1991.1;1;1;562;NA;NA;NA;NA;1966;"M";191110446
1995.1;2780052414;21316210;1991.2;1;1;NA;NA;NA;NA;NA;1972;"F";291230034
1995.1;42506808434;21316210;1991.2;1;1;NA;NA;NA;NA;NA;1965;"M";291230028
1995.1;2226797432;14123100;1991.2;1;1;592;NA;NA;NA;NA;1971;"M";191210018
1995.1;38013694915;11128100;1985.1;1;4;461;NA;NA;NA;NA;1962;"F";185110288
1995.1;36369675415;14102100;1987.1;1;4;717;NA;NA;NA;NA;1962;"M";187110062
1995.1;39618153487;14123100;1988.1;6;4;573;NA;NA;NA;NA;1964;"F";188110319
1995.1;88770494487;14123100;1991.2;1;4;635;NA;NA;NA;NA;1972;"M";191210357
1995.2;51929309449;11124100;1986.1;1;1;474;NA;NA;NA;NA;1966;"M";186110341
1995.2;75293447491;21316210;1990.1;1;1;NA;NA;NA;NA;NA;1970;"M";290130222
1995.2;89343298404;21316210;1991.2;1;1;NA;NA;NA;NA;NA;1973;"F";291230037
1995.2;1022214402;21316210;1992.1;1;1;NA;NA;NA;NA;NA;1971;"M";292130433
1995.2;87311291453;21312110;1992.2;1;1;NA;NA;NA;NA;NA;1972;"M";292230540
1995.2;948671432;15122100;1984.2;1;4;541;NA;NA;NA;NA;1900;"M";184210098
1996.1;79700489434;13304100;1986.1;1;1;622;NA;NA;NA;NA;1965;"M";186130218
1996.1;69176477487;41410100;1988.2;1;1;484;NA;NA;NA;NA;1968;"F";488220150
1996.1;79802974404;15122100;1991.1;1;1;572;NA;NA;NA;NA;1971;"M";191110365
1996.1;67514960449;13304100;1991.2;1;1;495;"ESPERANÇA";"PB";NA;NA;1968;"M";191230347
1996.1;92996426487;13312110;1992.1;1;1;529;NA;NA;NA;NA;1973;"F";192130652
1996.1;85333794472;13301100;1993.2;1;2;536;NA;NA;NA;NA;1974;"F";193230258
